Unnamed: 0,Unnamed: 1,Case Study,TBEI,Aspiration q're
1,TẦM NHÌN CHIẾN LƯỢC,Yes,Not recommended,Yes
HV1,"Thấu hiểu chiến lược, định hướng, mục tiêu của NH, phân tích được bối cảnh và dự đoán được các tác động đến ĐV/phòng ban phụ trách",,,
HV2,"Đưa ra mục tiêu, định hướng ngắn, trung, dài hạn và triển khai thành các kế hoạch, chương trình hành động cụ thể nhằm tạo ra lợi thế cạnh tranh cho đơn vị/ lĩnh vực hoạt động",,,
HV3,"Dự đoán, có hành động điều chỉnh, huy động nguồn lực, ứng phó trước các thách thức, rào cản nhằm đạt được mục tiêu cuối cùng",,,
2,PHÁT TRIỂN ĐỘI NGŨ,Not sure,Yes,Yes
HV1,"Nhận diện được tiềm năng và khoảng trống năng lực của đội ngũ và đào tạo, phát triển cán bộ bằng đa dạng các phương pháp đào tạo",,,
HV2,"Chủ động trao đổi, tìm hiểu nhu cầu phát triển của các cán bộ, đặc biệt là cán bộ tiềm năng trong đơn vị/ phòng ban phụ trách để tạo điều kiện cho cán bộ phát huy thế mạnh và có cơ hội phát triển nghề nghiệp phù hợp",,,
HV3,Khuyến khích và thực hiện trao quyền phù hợp trên cơ sở hiểu rõ năng lực của cán bộ và kiểm soát rủi ro,,,
3,ĐỔI MỚI SÁNG TẠO,Yes,Not recommended,No
HV1,"Nhận diện được thế mạnh nội tại, các rào cản, điểm nghẽn trong hoạt động của đơn vị/phòng ban phụ trách và Ngân hàng",,,
HV2,"Đưa ra yêu cầu, xây dựng các chương trình thúc đẩy đội ngũ đề xuất các sáng kiến để cải thiện thực trạng và phát huy thế mạnh đơn vị/phòng ban phụ trách và Ngân hàng.",,,
4,CÂN BẰNG RỦI RO & PHÁT TRIỂN,Yes,Not recommended,No
HV1,"Theo dõi được các biến động, có phương pháp nhận diện, đánh giá được các cơ hội phát triển và các rủi ro ảnh hưởng đến hoạt động của đơn vị/phòng ban phụ trách",,,
HV2,"Đưa ra quyết định, giải quyết vấn đề nhanh chóng trên cơ sở cân bằng giữa rủi ro và phát triển tại đơn vị/phòng ban phụ trách",,,
5,CHUYỂN ĐỔI SỐ,Yes,Yes,No
HV1,"Hiểu biết rõ về chương trình chuyển đổi số của NH và chuyển hóa vào mục tiêu, KH hành động của đơn vị/phòng ban phụ trách",,,
HV2,"Ứng dụng hiệu quả các công nghệ số, AI mới để lắng nghe, thấu hiểu khách hàng, nâng cao trải nghiệm và sự hài lòng của khách hàng",,,
